Country,TotalConfirmed,NewConfirmed,NewDeaths,TotalDeaths,NewRecovered,TotalRecovered,Date
"Taiwan, Republic of China",440,0,0,7,4,387,2020-05-16T17:44:07Z
Tajikistan,1118,211,4,33,0,0,2020-05-16T17:44:07Z
"Tanzania, United Republic of",509,0,0,21,0,183,2020-05-16T17:44:07Z
Thailand,3025,7,0,56,4,2854,2020-05-16T17:44:07Z
Timor-Leste,24,0,0,0,3,24,2020-05-16T17:44:07Z
Togo,263,25,0,11,0,96,2020-05-16T17:44:07Z
Trinidad and Tobago,116,0,0,8,0,107,2020-05-16T17:44:07Z
Tunisia,1035,3,0,45,32,802,2020-05-16T17:44:07Z
Turkey,146457,1708,48,4055,2103,106133,2020-05-16T17:44:07Z
Uganda,203,43,0,0,0,63,2020-05-16T17:44:07Z
Ukraine,17330,483,20,476,330,4473,2020-05-16T17:44:07Z
United Arab Emirates,21831,747,2,210,398,7328,2020-05-16T17:44:07Z
United Kingdom,238004,3564,385,34078,4,1047,2020-05-16T17:44:07Z
United States of America,1442824,25050,1632,87530,4333,250747,2020-05-16T17:44:07Z
Uruguay,732,8,0,19,6,553,2020-05-16T17:44:07Z
Uzbekistan,2686,41,0,11,22,2158,2020-05-16T17:44:07Z
Venezuela (Bolivarian Republic),459,4,0,10,9,229,2020-05-16T17:44:07Z
Viet Nam,314,2,0,0,0,260,2020-05-16T17:44:07Z
Western Sahara,6,0,0,0,0,6,2020-05-16T17:44:07Z
Yemen,106,21,3,15,0,1,2020-05-16T17:44:07Z
Zambia,654,0,0,7,0,124,2020-05-16T17:44:07Z
Zimbabwe,42,5,0,4,0,13,2020-05-16T17:44:07Z
